Argument ID	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity
A01004	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A01005	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A01006	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A01010	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
A01017	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A02015	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A03015	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
A03016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
A04005	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A04007	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
A04018	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A05015	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A05019	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1
A05035	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0
A05037	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A05038	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A05045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
A05054	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
A05055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
A05056	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1
A05059	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0
A05064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A05069	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
A05076	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A05079	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
A05088	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A05096	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
A05097	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
