Argument ID	Conclusion	Stance	Premise
A01004	We should ban naturopathy	against	it provides a useful income for some people
A01005	We should ban fast food	in favor of	fast food should be banned because it is really bad for your health and is costly.
A01006	We should end the use of economic sanctions	against	sometimes economic sanctions are the only thing that will get the corrupt governments to take action
A01010	We should prohibit school prayer	against	it should be allowed if the student wants to pray as long as it is not interfering with his classes
A01017	We should end affirmative action	in favor of	affirmative action is no longer necessary as more minorities are able to prove to employers that they are worthy workers.
A02015	We should ban the Church of Scientology	in favor of	they are nothing but a cult and manipulate their members
A03015	We should cancel pride parades	in favor of	pride parades create a huge disturbance
A03016	We should abolish the Olympic Games	against	Olympic Games should not be banned. They are the tissue that solidify the friendship between nations in the world and a reminder of a peaceful world which should be the world vision
A04005	Intelligence tests bring more harm than good	in favor of	some people are highly intelligent but don't do well on testing so intelligence tests can't measure a true value if it's only testing with one method.
A04007	We should prohibit school prayer	against	allowing children to pray and take some quiet time in school can be beneficial for their mental health.
A04018	We should abandon the use of school uniform	in favor of	School uniforms are too expensive and many parents can not afford the extra expense.
A05015	We should abolish safe spaces	in favor of	these are usually located in universities. students need to prepare for the real world and know how to handle conflict. once they leave school they'll have no idea how to handle the constant conflict in life.
A05019	We should end affirmative action	in favor of	we should end affirmative action because it just caters to people that feel like they were discriminated against
A05035	We should subsidize stay-at-home dads	against	there are better uses of money than to subsidize non working men.
A05037	Intelligence tests bring more harm than good	in favor of	intelligence tests can prevent someone from pursuing their passion which they may be able to achieve with hard work
A05038	Assisted suicide should be a criminal offence	against	if someone is in extreme pain why make them suffer? this is not criminal
A05045	We should subsidize Wikipedia	against	subsidizing wikipedia can cause it to provide biased information
A05054	We should adopt libertarianism	against	there are so many people in the world we all have to appreciate that we need to adopt certain rules and etiquette which everyone follows, if everyone pleased themselves no one would help each other.
A05055	We should end racial profiling	in favor of	if i wear blue jeans and a tie dye shirt that doesn't make me a dope smoking hippie. that sounds as stupid as saying because someone is black they must be a criminal.
A05056	We should close Guantanamo Bay detention camp	in favor of	guantanamo bay is outdated and barbaric
A05059	We should cancel pride parades	against	pride parades can show everyone that we tolerate everyone
A05064	We should abolish zoos	against	zoos do a lot of conservation work and have successfully bred animals which were on the verge of extinction.
A05069	We should adopt a multi-party system	against	the two-party system is cheaper and easier to operate that any multi-party system
A05076	We should subsidize space exploration	in favor of	there is so much more to explore and learn about space that subsidising space exploration would bring us closer to learning and understanding what is beyond our planet.
A05079	Foster care brings more harm than good	in favor of	many children in the foster care system have issues that can destroy a family.
A05088	We should abandon the use of school uniform	in favor of	if you are not required to wear a uniform, you are free to choose clothing styles that are more favorable to your body type and coloring, which allows you to look your best
